concept_id,concept_name
0,Circle Graph
1,Percent Of
2,Equivalent Fractions
3,Finding Percents
4,Proportion
5,Median
6,Range
7,Table
8,Mean
9,Multiplication and Division Integers
10,Equation Solving Two or Fewer Steps
11,Equation Solving More Than Two Steps
12,Addition and Subtraction Positive Decimals
13,Exponents
14,Number Line
15,Solving Inequalities
16,Distributive Property
17,Addition and Subtraction Integers
18,Congruence
19,Rounding
20,Multiplication Fractions
21,Addition and Subtraction Fractions
22,Addition Whole Numbers
23,Ordering Integers
24,Ordering Positive Decimals
25,"Order of Operations +,-,/,* () positive reals"
26,Solving for a variable
27,Surface Area Rectangular Prism
28,Nets of 3D Figures
29,Calculations with Similar Figures
30,Probability of a Single Event
31,Fraction Of
32,Mode
33,Conversion of Fraction Decimals Percents
34,Subtraction Whole Numbers
35,Absolute Value
36,Ordering Fractions
37,D.4.8-understanding-concept-of-probabilities
38,Complementary and Supplementary Angles
39,Circumference
40,Area Circle
41,Unit Conversion Within a System
42,Unit Rate
43,Multiplication Whole Numbers
44,Multiplication and Division Positive Decimals
45,Division Fractions
46,Divisibility Rules
47,Least Common Multiple
48,Ordering Real Numbers
49,Square Root
50,Order of Operations All
51,Prime Number
52,Estimation
53,Scientific Notation
54,Pythagorean Theorem
55,Midpoint
56,Scatter Plot
57,Pattern Finding
58,Scale Factor
59,Interpreting Coordinate Graphs
60,Interior Angles Figures with More than 3 Sides
61,Interior Angles Triangle
62,Rotations
63,Reflection
64,Translations
65,Box and Whisker
66,Probability of Two Distinct Events
67,Counting Methods
68,Histogram as Table or Graph
69,Stem and Leaf Plot
70,Venn Diagram
71,Write Linear Equation from Situation
72,Write Linear Equation from Ordered Pairs
73,Write Linear Equation from Graph
74,Effect of Changing Dimensions of a Shape Prportionally
75,Volume Rectangular Prism
76,Volume Cylinder
77,Volume Sphere
78,Perimeter of a Polygon
79,Area Rectangle
80,Area Irregular Figure
81,Area Trapezoid
82,Greatest Common Factor
83,Surface Area Cylinder
84,Angles on Parallel Lines Cut by a Transversal
85,Area Parallelogram
86,Computation with Real Numbers
87,Area Triangle
88,Choose an Equation from Given Information
89,Intercept
90,Linear Equations
91,Slope
92,Quadratic Formula to Solve Quadratic Equation
93,Recognize Linear Pattern
94,"Angles - Obtuse, Acute, and Right"
95,Polynomial Factors
96,Solving Systems of Linear Equations by Graphing
97,Finding Slope From Situation
98,Finding Slope from Ordered Pairs
99,Algebraic Solving
100,Absolute Value
101,Percents
102,Rate
103,Percent Discount
104,Algebraic Simplification
105,Reading a Ruler or Scale
106,Solving Systems of Linear Equations
107,Simplifying Expressions positive exponents
108,"Parts of a Polyomial, Terms, Coefficient, Monomial, Exponent, Variable"
109,Finding Slope From Equation
110,Recognize Quadratic Pattern
